BGEs_out,rates_out,media_out
0.33226536442353993,0.2411498059913188,Glucose
0.29875209476957976,0.3229833264376295,Glucose
0.30646275774139325,0.1070640606463439,Glucose
0.31793898439080603,0.2576201013963029,Glucose
0.183981260104362,0.04762866890273331,Glucose
0.1775293248125086,0.050628505128742125,Glucose
0.3343878082122599,0.31662870825914796,Glucose
0.40959375198279074,0.349668858084168,Glucose
0.2565199351983147,0.0974420709631197,Glucose
0.40744512397522226,0.28325634367689834,Glucose
0.23983180475085122,0.10220515957943785,Glucose
0.4292748180627802,1.0658878778493808,Glucose
0.3788736046492776,0.09666987656752182,Glucose
0.29636422949375185,0.4316022085560438,Glucose
0.42767176961807746,0.11386647105469669,Glucose
0.4240281654977963,0.4016925937122633,Glucose
0.26363825707920746,0.07051873494614973,Glucose
0.42747220706525935,0.14115360520141024,Glucose
0.3061391382029783,0.17491487986500265,Glucose
0.35190246665484093,1.3461837439348705,Glucose
0.2879179535808612,0.22420452336456032,Glucose
0.42747867457162897,0.6292431729208359,Glucose
0.2626376785340147,0.2411479526857771,Pyruvate
0.2355487750430389,0.32297994043927736,Pyruvate
0.24067444326782778,0.10706427410873928,Pyruvate
0.2501264941840163,0.2576201161633385,Pyruvate
0.1414804084464335,0.047628880567405434,Pyruvate
0.13512667064110442,0.050627204341366215,Pyruvate
0.26426222651276776,0.3166252191858606,Pyruvate
0.32155477880923644,0.34966888412946584,Pyruvate
0.200365962376294,0.09743967965881128,Pyruvate
0.3196301965783769,0.2832563611788252,Pyruvate
0.18761585364795766,0.10220401916444016,Pyruvate
0.33933868940523204,1.0658880444875052,Pyruvate
0.2941976019763579,0.09666987871911192,Pyruvate
0.23353685057027843,0.4316022460720524,Pyruvate
0.3380106771408837,0.11386633949084068,Pyruvate
0.3346336185534801,0.40169262716523463,Pyruvate
0.2077391847656871,0.07051851124844091,Pyruvate
0.3379805099693824,0.1411536096541306,Pyruvate
0.2413256360139007,0.17491244147170773,Pyruvate
0.27822154357325657,1.3461839806956049,Pyruvate
0.22763908897534202,0.2242045343220486,Pyruvate
0.33780825857670316,0.6292432449937836,Pyruvate
0.2994966174783425,0.24114912381123285,Succinate
0.2689668708416809,0.3229820679276197,Succinate
0.2753942997147864,0.10706428689714774,Succinate
0.28594449861964133,0.2576201087588409,Succinate
0.16368670044645675,0.047628966253636947,Succinate
0.15717382624429022,0.0506279393097771,Succinate
0.30138118930719876,0.31662740878746803,Succinate
0.36801005669043396,0.34966887100129834,Succinate
0.22992567340447972,0.09744107650657027,Succinate
0.36595097635832396,0.28325635249660847,Succinate
0.21512263531671186,0.10220460070677356,Succinate
0.386949652591917,1.0658879611785743,Succinate
0.3386471268754608,0.09666987762818055,Succinate
0.26674748936258014,0.43160222734045295,Succinate
0.3854719328647443,0.11386641896420777,Succinate
0.3819207919696458,0.4016926104453774,Succinate
0.2372869389537431,0.07051863203351083,Succinate
0.38536060228122704,0.14115360741457522,Succinate
0.2755919790155441,0.17491396043677762,Succinate
0.3172302013725529,1.346183862326708,Succinate
0.25955267072153787,0.22420452885718078,Succinate
0.3852712444588189,0.6292432089581567,Succinate
